Posted On,Size,Rent,No of Bedrooms,No of Bathrooms,Floor,Area Type,City,Condition of the House,Age of House (in Years),Overall Grade,Furnishing Status,Latitude,Longitude,Tenant Preferred,Point of Contact
02-07-22,1125,11000,2,1,5,Super Area,Hyderabad,Good,68,7,Unfurnished,47.5694,-122.395,Bachelors,Contact Owner
24-05-22,1250,11000,2,1,0,Super Area,Hyderabad,Fair,85,6,Semi-Furnished,47.507,-122.302,Bachelors/Family,Contact Owner
12-05-22,1200,11000,4,2.25,1,Super Area,Hyderabad,Good,53,7,Semi-Furnished,47.4278,-122.343,Bachelors/Family,Contact Owner
30-04-22,950,11000,4,2.5,2,Super Area,Hyderabad,Fair,14,7,Unfurnished,47.6811,-122.035,Bachelors/Family,Contact Owner
06-07-22,550,11000,3,1.75,1,Super Area,Hyderabad,Fair,40,7,Furnished,47.7748,-122.291,Bachelors/Family,Contact Owner
01-05-22,1100,11000,4,2.5,2,Super Area,Hyderabad,Fair,66,8,Unfurnished,47.6835,-122.187,Bachelors/Family,Contact Owner
14-06-22,100,11000,3,1,2,Super Area,Hyderabad,Fair,67,7,Unfurnished,47.7508,-122.286,Bachelors/Family,Contact Owner
29-05-22,1000,11000,4,2.5,3,Super Area,Hyderabad,Fair,19,9,Unfurnished,47.3305,-122.171,Bachelors/Family,Contact Owner
22-06-22,900,11000,4,4,0,Super Area,Hyderabad,Fair,28,10,Unfurnished,47.5769,-122.215,Bachelors/Family,Contact Owner
30-04-22,700,11200,3,1,1,Super Area,Chennai,Fair,62,7,Unfurnished,47.4105,-122.295,Bachelors/Family,Contact Owner
10-05-22,1100,11400,3,1.5,3,Carpet Area,Bangalore,Good,85,6,Unfurnished,47.495,-122.318,Bachelors,Contact Owner
18-05-22,700,11500,2,1,2,Super Area,Bangalore,Good,95,7,Semi-Furnished,47.6325,-122.303,Bachelors/Family,Contact Owner
20-06-22,550,11500,4,2.25,2,Carpet Area,Bangalore,Good,27,7,Semi-Furnished,47.3679,-122.179,Bachelors/Family,Contact Owner
24-05-22,1200,11500,3,1,0,Super Area,Bangalore,Excellent,59,7,Semi-Furnished,47.5233,-122.185,Bachelors/Family,Contact Owner
19-05-22,600,11500,3,1,1,Super Area,Bangalore,Good,54,7,Semi-Furnished,47.4225,-122.15,Bachelors/Family,Contact Owner
08-05-22,700,11500,5,3.5,2,Super Area,Bangalore,Fair,17,9,Semi-Furnished,47.6039,-122.059,Bachelors/Family,Contact Owner
26-05-22,300,11500,3,2,4,Carpet Area,Bangalore,Fair,110,7,Unfurnished,47.6272,-122.29,Bachelors,Contact Owner
07-06-22,450,11500,2,1,0,Carpet Area,Delhi,Good,72,7,Semi-Furnished,47.7383,-122.074,Bachelors,Contact Owner
04-06-22,400,11500,2,1,1,Carpet Area,Delhi,Fair,75,6,Unfurnished,47.5136,-122.316,Bachelors/Family,Contact Agent
21-06-22,550,11500,3,3.5,2,Carpet Area,Delhi,Fair,15,8,Unfurnished,47.6827,-122.324,Bachelors/Family,Contact Agent
30-05-22,1250,11500,3,2.25,3,Carpet Area,Chennai,Fair,23,10,Semi-Furnished,47.5363,-122.385,Bachelors/Family,Contact Owner
01-05-22,700,11500,4,1.5,0,Carpet Area,Chennai,Fair,67,7,Semi-Furnished,47.4029,-122.321,Bachelors/Family,Contact Owner
23-06-22,1100,11500,6,2.75,0,Carpet Area,Chennai,Excellent,56,7,Semi-Furnished,47.715,-122.121,Bachelors,Contact Owner
08-07-22,973,11500,2,1,0,Carpet Area,Chennai,Fair,69,6,Semi-Furnished,47.4752,-122.271,Family,Contact Owner
01-05-22,700,11500,4,2.5,1,Super Area,Chennai,Fair,17,10,Unfurnished,47.3646,-122.211,Bachelors/Family,Contact Owner
06-07-22,1000,11500,4,2.75,0,Super Area,Chennai,Good,112,6,Unfurnished,47.5532,-122.365,Bachelors/Family,Contact Owner
08-07-22,1000,11500,3,1.75,0,Carpet Area,Hyderabad,Fair,32,7,Semi-Furnished,47.3546,-122.176,Bachelors/Family,Contact Owner
30-06-22,675,11500,4,2.5,0,Carpet Area,Hyderabad,Good,34,9,Unfurnished,47.7387,-122.096,Bachelors,Contact Owner
12-05-22,1500,12000,4,2.25,1,Carpet Area,Kolkata,Fair,34,8,Furnished,47.445,-122.347,Bachelors,Contact Owner
02-07-22,650,12000,4,2.5,1,Super Area,Kolkata,Good,37,9,Unfurnished,47.6194,-122.151,Family,Contact Owner
27-06-22,550,12000,5,2.75,1,Carpet Area,Kolkata,Good,17,10,Semi-Furnished,47.6506,-122.391,Family,Contact Owner
28-06-22,1200,12000,3,1.75,0,Super Area,Kolkata,Fair,51,7,Furnished,47.3576,-122.277,Bachelors/Family,Contact Owner
06-07-22,800,12000,3,1.75,1,Super Area,Kolkata,Fair,47,7,Unfurnished,47.5474,-122.295,Bachelors/Family,Contact Owner
29-06-22,1000,12000,4,2.75,2,Super Area,Kolkata,Fair,51,8,Semi-Furnished,47.3135,-122.369,Bachelors/Family,Contact Owner
10-05-22,800,12000,4,2.5,1,Super Area,Kolkata,Fair,19,9,Furnished,47.565,-122.125,Bachelors/Family,Contact Owner
08-06-22,950,12000,4,3,1,Carpet Area,Kolkata,Excellent,57,7,Unfurnished,47.7044,-122.2,Bachelors,Contact Owner
04-06-22,1800,12000,4,2.75,0,Carpet Area,Kolkata,Fair,25,9,Unfurnished,47.6993,-122.102,Bachelors,Contact Owner
05-05-22,1000,12000,3,2.5,0,Super Area,Kolkata,Good,56,7,Unfurnished,47.7606,-122.336,Bachelors/Family,Contact Owner
24-04-22,1000,12000,3,2.5,0,Super Area,Kolkata,Fair,13,9,Unfurnished,47.3185,-122.275,Bachelors/Family,Contact Owner
19-06-22,900,12000,4,2.5,0,Super Area,Kolkata,Fair,17,9,Unfurnished,47.4369,-122.111,Bachelors/Family,Contact Owner
31-05-22,1000,12000,3,2.5,2,Super Area,Kolkata,Fair,31,7,Semi-Furnished,47.3507,-122.178,Bachelors/Family,Contact Owner
28-04-22,800,12000,3,1.75,1,Carpet Area,Kolkata,Fair,38,7,Unfurnished,47.7198,-122.193,Bachelors/Family,Contact Owner
09-05-22,1000,12000,3,2.25,0,Super Area,Kolkata,Good,54,7,Semi-Furnished,47.476,-122.337,Bachelors/Family,Contact Owner
29-06-22,1100,12000,3,2,2,Super Area,Kolkata,Fair,15,7,Unfurnished,47.2639,-122.252,Bachelors,Contact Owner
03-06-22,700,12000,3,1.75,1,Carpet Area,Kolkata,Fair,61,8,Unfurnished,47.7222,-122.32,Bachelors,Contact Agent
15-06-22,1200,12000,4,1,1,Super Area,Kolkata,Fair,75,6,Unfurnished,47.4897,-122.24,Bachelors/Family,Contact Owner
12-05-22,756,12000,3,2.5,0,Carpet Area,Kolkata,Fair,18,9,Semi-Furnished,47.565,-122.381,Bachelors/Family,Contact Owner
24-06-22,288,12000,4,2.5,0,Carpet Area,Kolkata,Fair,16,9,Unfurnished,47.4508,-122.359,Bachelors,Contact Owner
26-06-22,957,12000,4,2.25,1,Carpet Area,Kolkata,Fair,17,7,Furnished,47.7237,-121.959,Bachelors,Contact Owner
18-05-22,500,12000,3,2.5,0,Super Area,Kolkata,Fair,30,8,Furnished,47.5272,-122.169,Bachelors/Family,Contact Agent
19-06-22,550,12000,3,2.5,2,Carpet Area,Kolkata,Good,33,8,Unfurnished,47.4334,-122.161,Bachelors/Family,Contact Agent
31-05-22,800,12000,2,1,7,Super Area,Kolkata,Fair,109,7,Unfurnished,47.6073,-122.308,Bachelors/Family,Contact Owner
02-07-22,1100,12000,5,2.5,0,Super Area,Kolkata,Fair,43,7,Semi-Furnished,47.7206,-122.211,Family,Contact Owner
01-06-22,950,12000,3,2.75,1,Super Area,Kolkata,Good,35,8,Unfurnished,47.5698,-122.121,Bachelors/Family,Contact Owner
27-06-22,1000,12000,2,2.5,3,Super Area,Kolkata,Fair,14,8,Unfurnished,47.6192,-122.301,Bachelors/Family,Contact Owner
10-06-22,900,12000,2,1,0,Carpet Area,Kolkata,Fair,89,7,Unfurnished,47.6799,-122.381,Bachelors/Family,Contact Owner
11-05-22,720,12000,3,1,1,Super Area,Kolkata,Excellent,60,6,Unfurnished,47.452,-122.177,Bachelors,Contact Owner
31-05-22,520,12000,3,1.75,0,Super Area,Mumbai,Fair,53,7,Semi-Furnished,47.7571,-122.328,Bachelors/Family,Contact Owner
02-06-22,225,12000,4,1.75,2,Carpet Area,Mumbai,Good,57,7,Unfurnished,47.7358,-122.076,Family,Contact Owner
17-06-22,1200,12000,4,1.75,2,Super Area,Bangalore,Good,71,7,Unfurnished,47.6981,-122.4,Bachelors/Family,Contact Owner
06-07-22,500,12000,4,2.25,1,Carpet Area,Bangalore,Good,57,8,Semi-Furnished,47.5491,-122.17,Bachelors,Contact Agent
23-05-22,450,12000,3,1,1,Super Area,Bangalore,Fair,71,7,Unfurnished,47.686,-122.395,Bachelors/Family,Contact Owner
23-05-22,1200,12000,4,2.5,1,Super Area,Bangalore,Fair,51,7,Unfurnished,47.7104,-122.24,Bachelors/Family,Contact Owner
29-05-22,900,12000,3,1,3,Super Area,Bangalore,Fair,115,7,Unfurnished,47.698,-122.351,Bachelors,Contact Owner
06-06-22,900,12000,4,2.25,2,Carpet Area,Bangalore,Good,39,7,Unfurnished,47.7559,-122.148,Bachelors/Family,Contact Agent
07-07-22,420,12000,3,2.25,2,Carpet Area,Bangalore,Fair,32,8,Semi-Furnished,47.2621,-122.218,Bachelors/Family,Contact Agent
08-06-22,800,12000,2,1,2,Super Area,Bangalore,Fair,76,6,Unfurnished,47.5165,-122.376,Bachelors/Family,Contact Owner
08-07-22,1200,12000,4,2.25,3,Super Area,Bangalore,Good,52,8,Unfurnished,47.3627,-122.285,Bachelors/Family,Contact Owner
04-06-22,865,12000,4,2.5,1,Super Area,Bangalore,Excellent,50,7,Semi-Furnished,47.7289,-122.201,Bachelors/Family,Contact Owner
27-05-22,950,12000,2,1,0,Super Area,Bangalore,Good,77,7,Semi-Furnished,47.6446,-122.403,Bachelors/Family,Contact Owner
07-06-22,905,12000,3,1.75,2,Super Area,Bangalore,Good,40,8,Semi-Furnished,47.3845,-122.154,Family,Contact Owner
01-06-22,600,12000,4,1.5,1,Carpet Area,Bangalore,Good,59,7,Semi-Furnished,47.3107,-122.212,Bachelors,Contact Owner
23-06-22,840,12000,3,1.25,3,Super Area,Bangalore,Good,105,7,Semi-Furnished,47.5301,-122.271,Bachelors/Family,Contact Owner
30-05-22,600,12000,3,1.75,1,Super Area,Bangalore,Good,60,8,Unfurnished,47.6001,-122.178,Bachelors/Family,Contact Owner
16-06-22,600,12000,3,2.5,1,Super Area,Bangalore,Good,63,7,Semi-Furnished,47.4582,-122.365,Bachelors,Contact Agent
19-05-22,700,12000,5,2.5,2,Carpet Area,Bangalore,Excellent,89,8,Semi-Furnished,47.6848,-122.398,Bachelors/Family,Contact Owner
09-05-22,900,12000,4,2.5,2,Carpet Area,Bangalore,Fair,10,8,Unfurnished,47.535,-122.348,Bachelors/Family,Contact Owner
23-05-22,500,12000,3,2.5,6,Super Area,Bangalore,Fair,27,10,Unfurnished,47.5533,-122.097,Bachelors/Family,Contact Owner
03-06-22,1020,12000,3,1,0,Carpet Area,Bangalore,Good,118,7,Unfurnished,47.651,-122.341,Bachelors/Family,Contact Owner
10-05-22,850,12000,4,2.25,2,Super Area,Bangalore,Fair,67,8,Semi-Furnished,47.6955,-122.287,Bachelors/Family,Contact Owner
05-05-22,800,12000,4,2.25,1,Super Area,Bangalore,Fair,40,9,Semi-Furnished,47.612,-122.064,Bachelors/Family,Contact Owner
06-07-22,800,12000,3,2,3,Super Area,Bangalore,Fair,28,8,Semi-Furnished,47.4626,-122.132,Family,Contact Owner
29-04-22,1400,12000,4,2.25,1,Super Area,Bangalore,Fair,31,7,Semi-Furnished,47.4248,-122.158,Bachelors/Family,Contact Owner
16-06-22,900,12000,4,2.75,1,Super Area,Bangalore,Good,50,7,Semi-Furnished,47.7278,-122.177,Bachelors/Family,Contact Owner
04-06-22,1100,12000,3,2.5,1,Super Area,Bangalore,Fair,9,7,Semi-Furnished,47.6968,-122.024,Bachelors/Family,Contact Owner
29-04-22,600,12000,5,2.5,2,Super Area,Bangalore,Fair,30,10,Semi-Furnished,47.6664,-122.045,Bachelors/Family,Contact Owner
23-05-22,650,12000,2,1.75,1,Super Area,Bangalore,Good,67,6,Semi-Furnished,47.558,-122.392,Bachelors/Family,Contact Owner
22-06-22,500,12000,4,2.5,2,Super Area,Bangalore,Fair,31,9,Semi-Furnished,47.5679,-122.011,Bachelors/Family,Contact Owner
05-07-22,400,12000,3,1,2,Carpet Area,Bangalore,Fair,46,7,Semi-Furnished,47.7116,-122.213,Bachelors/Family,Contact Owner
19-05-22,800,12000,1,1,0,Super Area,Bangalore,Excellent,103,6,Unfurnished,47.2107,-121.99,Bachelors/Family,Contact Owner
08-07-22,700,12000,4,4.25,0,Carpet Area,Bangalore,Fair,68,10,Semi-Furnished,47.6702,-122.26,Family,Contact Owner
30-05-22,1200,12000,5,2,1,Carpet Area,Bangalore,Fair,102,7,Semi-Furnished,47.6647,-122.337,Bachelors/Family,Contact Owner
23-06-22,775,12000,5,3.25,0,Carpet Area,Bangalore,Fair,25,10,Semi-Furnished,47.555,-122.114,Bachelors/Family,Contact Agent
29-04-22,750,12000,4,2.5,1,Super Area,Bangalore,Fair,14,7,Unfurnished,47.4334,-122.148,Bachelors/Family,Contact Owner
05-05-22,600,12000,2,1.5,3,Super Area,Bangalore,Good,72,7,Semi-Furnished,47.5831,-122.392,Bachelors/Family,Contact Owner
04-06-22,940,12000,4,1,0,Carpet Area,Bangalore,Fair,96,7,Semi-Furnished,47.6624,-122.354,Bachelors/Family,Contact Owner
23-05-22,850,12000,3,2.25,1,Super Area,Bangalore,Fair,39,9,Semi-Furnished,47.3524,-122.285,Bachelors/Family,Contact Owner
20-06-22,750,12000,3,3.5,2,Super Area,Bangalore,Fair,12,8,Semi-Furnished,47.6169,-122.309,Bachelors/Family,Contact Owner
11-06-22,900,12000,3,1,0,Carpet Area,Bangalore,Good,59,7,Semi-Furnished,47.7428,-122.244,Bachelors/Family,Contact Owner
30-04-22,850,12000,3,2.5,2,Super Area,Bangalore,Good,46,9,Semi-Furnished,47.561,-122.226,Bachelors/Family,Contact Owner
04-07-22,1100,12000,3,1.75,0,Super Area,Bangalore,Fair,39,7,Semi-Furnished,47.4257,-122.146,Bachelors/Family,Contact Owner
07-07-22,630,12000,4,3,1,Super Area,Bangalore,Fair,30,8,Furnished,47.5471,-122.155,Bachelors/Family,Contact Owner
23-06-22,700,12000,3,2.25,0,Carpet Area,Bangalore,Good,49,7,Semi-Furnished,47.7529,-122.116,Bachelors/Family,Contact Owner
04-07-22,700,12000,4,2,1,Super Area,Bangalore,Good,51,7,Semi-Furnished,47.3933,-122.195,Bachelors/Family,Contact Owner
08-06-22,600,12000,3,1.75,1,Super Area,Bangalore,Good,50,8,Semi-Furnished,47.3402,-122.046,Bachelors/Family,Contact Owner
05-05-22,1000,12000,2,1,1,Super Area,Bangalore,Fair,62,7,Semi-Furnished,47.4131,-122.331,Bachelors/Family,Contact Owner
27-04-22,500,12000,5,2.75,2,Carpet Area,Bangalore,Excellent,93,7,Semi-Furnished,47.6866,-122.317,Bachelors,Contact Owner
23-05-22,1200,12000,2,2,1,Super Area,Bangalore,Good,108,7,Unfurnished,47.3065,-122.222,Bachelors/Family,Contact Owner
27-04-22,600,12000,2,1,4,Super Area,Bangalore,Fair,69,7,Unfurnished,47.7202,-122.339,Bachelors/Family,Contact Owner
27-05-22,600,12000,4,2.75,1,Super Area,Bangalore,Fair,15,9,Unfurnished,47.6406,-122.304,Bachelors/Family,Contact Owner
14-06-22,1080,12000,3,2,1,Carpet Area,Bangalore,Fair,98,7,Semi-Furnished,47.2103,-121.999,Bachelors,Contact Owner
15-06-22,550,12000,4,2.5,2,Carpet Area,Bangalore,Fair,29,8,Semi-Furnished,47.3487,-122.315,Bachelors,Contact Agent
05-05-22,600,12000,4,2.75,3,Super Area,Bangalore,Fair,16,7,Unfurnished,47.7088,-122.302,Bachelors/Family,Contact Owner
04-06-22,400,12000,4,1.75,0,Carpet Area,Delhi,Fair,58,7,Unfurnished,47.5299,-122.357,Bachelors,Contact Agent
12-06-22,750,12000,4,1,3,Carpet Area,Delhi,Fair,71,6,Semi-Furnished,47.2751,-122.252,Bachelors,Contact Owner
18-05-22,350,12000,4,1.75,4,Carpet Area,Delhi,Fair,92,7,Semi-Furnished,47.6805,-122.364,Bachelors,Contact Agent
18-05-22,48,12000,3,1,0,Super Area,Delhi,Good,51,7,Unfurnished,47.7002,-122.191,Bachelors/Family,Contact Owner
03-07-22,48,12000,3,2.5,2,Super Area,Delhi,Good,52,9,Semi-Furnished,47.6151,-122.216,Bachelors/Family,Contact Owner
02-05-22,450,12000,2,1,2,Super Area,Delhi,Excellent,70,6,Semi-Furnished,47.7346,-122.352,Bachelors/Family,Contact Owner
29-04-22,520,12000,3,2.25,3,Carpet Area,Delhi,Fair,9,7,Semi-Furnished,47.7071,-122.336,Bachelors/Family,Contact Owner
04-07-22,700,12000,3,2,3,Super Area,Delhi,Fair,30,7,Unfurnished,47.7342,-122.202,Bachelors/Family,Contact Owner
18-06-22,950,12000,4,2,1,Carpet Area,Delhi,Fair,106,7,Semi-Furnished,47.6965,-122.342,Bachelors,Contact Owner
10-05-22,450,12000,3,2.5,2,Super Area,Delhi,Fair,97,7,Semi-Furnished,47.6865,-122.379,Bachelors/Family,Contact Owner
27-05-22,55,12000,3,1.75,1,Super Area,Delhi,Good,118,6,Unfurnished,47.686,-122.346,Bachelors/Family,Contact Owner
14-05-22,700,12000,3,2.25,2,Super Area,Delhi,Fair,40,8,Semi-Furnished,47.6297,-122.099,Bachelors/Family,Contact Owner
23-05-22,950,12000,4,3,2,Super Area,Delhi,Excellent,46,10,Unfurnished,47.5605,-122.158,Bachelors/Family,Contact Owner
04-07-22,68,12000,2,1.5,1,Super Area,Delhi,Fair,77,8,Unfurnished,47.5762,-122.377,Bachelors/Family,Contact Owner
04-07-22,1000,12000,3,2.5,3,Super Area,Delhi,Fair,14,9,Semi-Furnished,47.5533,-121.992,Bachelors/Family,Contact Owner
27-05-22,400,12000,3,1.5,1,Carpet Area,Delhi,Fair,46,7,Unfurnished,47.7168,-122.192,Bachelors,Contact Agent
05-05-22,75,12000,3,2,2,Super Area,Delhi,Excellent,51,7,Furnished,47.5821,-122.016,Bachelors/Family,Contact Owner
14-05-22,900,12000,4,1.5,2,Super Area,Delhi,Good,57,7,Unfurnished,47.3716,-122.31,Bachelors/Family,Contact Owner
16-06-22,600,12000,4,2.25,1,Super Area,Delhi,Fair,41,7,Furnished,47.7699,-122.168,Bachelors/Family,Contact Owner
18-05-22,650,12000,4,1.75,1,Carpet Area,Delhi,Good,50,7,Unfurnished,47.526,-121.809,Bachelors/Family,Contact Agent
04-06-22,1000,12000,5,2,1,Super Area,Delhi,Good,67,8,Unfurnished,47.6368,-122.218,Bachelors/Family,Contact Owner
19-05-22,800,12000,3,1,0,Super Area,Delhi,Good,106,6,Semi-Furnished,47.6947,-122.346,Bachelors/Family,Contact Owner
22-06-22,700,12000,4,1.75,0,Super Area,Delhi,Fair,61,8,Furnished,47.3303,-122.351,Bachelors/Family,Contact Owner
30-06-22,400,12000,2,1.75,0,Carpet Area,Delhi,Good,36,8,Unfurnished,47.3782,-122.319,Bachelors/Family,Contact Agent
30-05-22,950,12000,3,2.25,3,Super Area,Delhi,Fair,31,10,Semi-Furnished,47.5522,-122.144,Bachelors,Contact Owner
03-07-22,500,12000,4,1.75,2,Carpet Area,Delhi,Fair,78,7,Semi-Furnished,47.4951,-122.352,Bachelors/Family,Contact Agent
12-05-22,600,12000,4,2,2,Super Area,Chennai,Good,55,7,Furnished,47.4804,-122.133,Bachelors/Family,Contact Owner
12-05-22,800,12000,4,2.75,1,Super Area,Chennai,Excellent,52,8,Semi-Furnished,47.6269,-122.1,Bachelors/Family,Contact Owner
21-05-22,850,12000,3,2.5,2,Super Area,Chennai,Fair,26,9,Unfurnished,47.5204,-122.206,Family,Contact Owner
16-05-22,500,12000,3,1,1,Super Area,Chennai,Fair,51,7,Unfurnished,47.7274,-122.202,Bachelors/Family,Contact Owner
16-05-22,1000,12000,4,2.5,2,Super Area,Chennai,Fair,29,7,Semi-Furnished,47.6999,-122.305,Bachelors/Family,Contact Owner
11-06-22,985,12000,4,1,1,Super Area,Chennai,Fair,68,7,Unfurnished,47.7165,-122.308,Bachelors/Family,Contact Owner
06-07-22,875,12000,3,1.75,0,Super Area,Chennai,Fair,51,7,Semi-Furnished,47.7326,-122.194,Bachelors,Contact Owner
22-06-22,930,12000,2,1,2,Super Area,Chennai,Fair,67,6,Semi-Furnished,47.7317,-122.296,Family,Contact Owner
30-06-22,930,12000,2,2,0,Carpet Area,Chennai,Fair,96,7,Furnished,47.6474,-122.362,Family,Contact Owner
05-07-22,870,12000,4,3,0,Carpet Area,Chennai,Good,93,9,Semi-Furnished,47.6583,-122.273,Bachelors/Family,Contact Owner
07-06-22,900,12000,4,3,0,Super Area,Chennai,Fair,50,8,Semi-Furnished,47.6563,-122.401,Bachelors/Family,Contact Owner
12-05-22,800,12000,3,1.75,0,Super Area,Chennai,Good,62,7,Furnished,47.4521,-122.36,Bachelors/Family,Contact Owner
29-04-22,900,12000,2,1,2,Carpet Area,Chennai,Fair,73,6,Semi-Furnished,47.5117,-122.248,Bachelors/Family,Contact Owner
04-07-22,1100,12000,3,1.75,1,Carpet Area,Chennai,Excellent,112,7,Semi-Furnished,47.6782,-122.314,Family,Contact Owner
29-06-22,800,12000,3,3.25,1,Super Area,Chennai,Good,64,9,Unfurnished,47.6332,-122.29,Bachelors/Family,Contact Owner
29-06-22,570,12000,2,1,1,Carpet Area,Chennai,Fair,63,6,Unfurnished,47.4572,-122.351,Bachelors/Family,Contact Owner
29-06-22,900,12000,3,1.75,0,Super Area,Chennai,Good,50,7,Semi-Furnished,47.4629,-122.187,Bachelors/Family,Contact Owner
29-06-22,550,12000,5,2.5,0,Super Area,Chennai,Fair,18,9,Unfurnished,47.5862,-122.054,Bachelors/Family,Contact Owner
20-05-22,900,12000,4,4.25,3,Super Area,Chennai,Fair,12,10,Semi-Furnished,47.263,-122.216,Bachelors/Family,Contact Owner
13-06-22,1000,12000,2,2,1,Super Area,Chennai,Fair,77,7,Semi-Furnished,47.6873,-122.291,Bachelors/Family,Contact Owner
10-05-22,650,12000,4,1.75,1,Carpet Area,Chennai,Good,72,7,Semi-Furnished,47.6692,-122.399,Family,Contact Owner
06-07-22,850,12000,4,2.5,4,Super Area,Chennai,Fair,15,8,Unfurnished,47.3494,-122.153,Bachelors/Family,Contact Owner
22-05-22,619,12000,4,2.75,1,Carpet Area,Chennai,Excellent,90,8,Furnished,47.6797,-122.359,Bachelors/Family,Contact Owner
18-06-22,750,12000,3,1,1,Super Area,Chennai,Fair,61,8,Semi-Furnished,47.7127,-122.325,Bachelors,Contact Owner
13-06-22,560,12000,3,1.75,1,Carpet Area,Chennai,Fair,103,6,Semi-Furnished,47.5659,-122.38,Family,Contact Owner
14-06-22,900,12000,2,1,0,Super Area,Chennai,Fair,71,7,Unfurnished,47.4075,-122.294,Bachelors/Family,Contact Owner
14-06-22,1200,12000,2,1,0,Super Area,Chennai,Fair,100,7,Semi-Furnished,47.5427,-122.388,Bachelors/Family,Contact Owner
23-06-22,650,12000,3,2,1,Super Area,Chennai,Fair,20,7,Unfurnished,47.3156,-122.188,Bachelors/Family,Contact Owner
17-06-22,750,12000,3,2,1,Super Area,Chennai,Fair,30,8,Unfurnished,47.5709,-122.018,Bachelors/Family,Contact Owner
29-05-22,450,12000,4,2.5,1,Super Area,Chennai,Fair,34,8,Unfurnished,47.5631,-122.085,Bachelors/Family,Contact Owner
29-06-22,850,12000,3,1,2,Carpet Area,Chennai,Good,83,7,Semi-Furnished,47.6693,-122.339,Bachelors/Family,Contact Owner
29-06-22,850,12000,2,1,2,Carpet Area,Chennai,Good,112,7,Semi-Furnished,47.6877,-122.325,Bachelors/Family,Contact Owner
20-05-22,900,12000,4,3,2,Super Area,Chennai,Fair,18,9,Unfurnished,47.5972,-122.018,Bachelors/Family,Contact Owner
17-06-22,600,12000,3,2,1,Carpet Area,Chennai,Excellent,111,7,Semi-Furnished,47.6801,-122.38,Bachelors,Contact Owner
30-04-22,800,12000,3,1.5,0,Super Area,Chennai,Fair,69,7,Semi-Furnished,47.5284,-122.387,Bachelors/Family,Contact Owner
30-04-22,900,12000,2,1,1,Super Area,Chennai,Fair,61,6,Furnished,47.4868,-122.33,Bachelors/Family,Contact Owner
07-07-22,1200,12000,3,2.5,2,Carpet Area,Chennai,Fair,17,8,Unfurnished,47.5491,-122.005,Family,Contact Owner
30-05-22,650,12000,3,1.75,1,Carpet Area,Chennai,Excellent,50,6,Unfurnished,47.3625,-122.084,Bachelors/Family,Contact Owner
14-06-22,740,12000,3,1.5,3,Super Area,Chennai,Fair,63,7,Unfurnished,47.4561,-122.357,Bachelors/Family,Contact Owner
05-06-22,1062,12000,3,1.5,2,Super Area,Chennai,Fair,16,7,Semi-Furnished,47.3392,-121.897,Bachelors/Family,Contact Owner
19-06-22,880,12000,4,1,2,Carpet Area,Chennai,Fair,57,7,Unfurnished,47.4551,-122.272,Family,Contact Owner
11-07-22,550,12000,2,1,1,Super Area,Chennai,Fair,79,7,Unfurnished,47.7436,-122.356,Bachelors/Family,Contact Owner
18-06-22,700,12000,4,4.25,1,Super Area,Chennai,Good,67,10,Unfurnished,47.6933,-122.272,Bachelors/Family,Contact Owner
23-05-22,926,12000,4,1.75,3,Super Area,Chennai,Good,68,7,Semi-Furnished,47.7046,-122.293,Bachelors/Family,Contact Owner
04-07-22,826,12000,2,1,0,Super Area,Chennai,Fair,66,6,Semi-Furnished,47.525,-122.356,Bachelors/Family,Contact Owner
29-05-22,1000,12000,3,2,2,Super Area,Chennai,Fair,28,7,Semi-Furnished,47.4656,-121.756,Bachelors/Family,Contact Owner
14-06-22,1800,12000,3,1.75,0,Super Area,Chennai,Fair,42,7,Unfurnished,47.7772,-122.296,Bachelors/Family,Contact Owner
14-06-22,1200,12000,3,2.75,2,Carpet Area,Chennai,Fair,10,7,Semi-Furnished,47.5601,-122.363,Bachelors,Contact Owner
03-06-22,950,12000,2,1.75,1,Super Area,Chennai,Good,80,7,Semi-Furnished,47.6878,-122.366,Family,Contact Owner
12-05-22,400,12000,3,2.5,3,Super Area,Chennai,Fair,22,9,Furnished,47.6731,-122.199,Bachelors/Family,Contact Owner
05-07-22,939,12000,2,2,1,Super Area,Chennai,Fair,14,6,Semi-Furnished,47.3489,-122.022,Bachelors/Family,Contact Owner
25-05-22,600,12000,3,2.5,0,Super Area,Chennai,Fair,108,7,Semi-Furnished,47.681,-122.388,Bachelors/Family,Contact Owner
10-07-22,750,12000,3,1,2,Super Area,Chennai,Fair,63,6,Unfurnished,47.4899,-122.337,Bachelors/Family,Contact Owner
28-04-22,700,12000,3,1,1,Super Area,Chennai,Fair,76,6,Unfurnished,47.4497,-122.289,Bachelors/Family,Contact Owner
27-05-22,1383,12000,3,1.5,0,Super Area,Chennai,Good,48,8,Semi-Furnished,47.6644,-122.148,Bachelors,Contact Owner
17-05-22,1000,12000,3,2,1,Carpet Area,Chennai,Good,52,7,Unfurnished,47.5807,-122.394,Bachelors,Contact Owner
24-05-22,1060,12000,4,2.5,3,Super Area,Chennai,Good,40,8,Semi-Furnished,47.569,-122.127,Bachelors/Family,Contact Owner
20-05-22,700,12000,3,2.5,8,Super Area,Chennai,Good,20,6,Semi-Furnished,47.2582,-121.935,Bachelors/Family,Contact Owner
